iter	Logloss
133	0.441134	0.45134	0.440135	0.45135	0.440136	0.45136	0.439137	0.44137	0.439138	0.44138	0.438139	0.44139	0.437140	0.44140	0.437141	0.44141	0.436142	0.44142	0.435143	0.44143	0.435144	0.44144	0.435145	0.44145	0.43146	0.445146	0.43147	0.445147	0.43148	0.444148	0.43149	0.443149	0.43150	0.443150	0.43151	0.442151	0.43152	0.442152	0.43153	0.442153	0.43154	0.441154	0.42155	0.441155	0.42156	0.440156	0.42157	0.44157	0.428158	0.44158	0.428159	0.43159	0.427160	0.43160	0.427161	0.43161	0.426162	0.43162	0.426163	0.43163	0.425164	0.43164	0.425165	0.43165	0.424166	0.43166	0.424167	0.43167	0.423168	0.43168	0.423169	0.43169	0.422170	0.43170	0.422171	0.43171	0.421172	0.43172	0.421173	0.43173	0.42174	0.433174	0.42175	0.433175	0.42176	0.432176	0.41177	0.43177	0.419178	0.43178	0.418179	0.43179	0.418180	0.43180	0.418181	0.4305216893
182	0.429899038
183	0.4296367848
184	0.4293576827
185	0.4289941255
186	0.4286915191
187	0.4283400931
188	0.4279444387
189	0.4277162624
190	0.4274464693
191	0.4269801338
192	0.4266933654
193	0.4263643063
194	0.4260036134
195	0.4257562294
196	0.4253200534
197	0.4250422992
198	0.424721496
199	0.4244983744
200	0.4241071429
201	0.42365138
202	0.423310653
203	0.4229158411
204	0.4226978162
205	0.4224578457
206	0.4221247008
207	0.4217272772
208	0.4213173855
209	0.4210880298
210	0.4204895146
211	0.4202940673
212	0.4200599096
213	0.4198213713
214	0.4195372145
215	0.4191432871
216	0.4189701646
217	0.4186538265
218	0.4183893408
219	0.4182051823
220	0.4177655943
221	0.4175244444
222	0.4173058299
223	0.4170804758
224	0.4168389467
225	0.4165209658
226	0.4160386238
227	0.4158483154
228	0.4157101544
229	0.4155121797
230	0.4153722075
231	0.4149948341
232	0.4147511147
233	0.4145106387
234	0.4141685639
235	0.4139122499
236	0.413693172
237	0.4134716932
238	0.4131426341
239	0.4129747347
240	0.4127500546
241	0.4125509848
242	0.4123358664
243	0.4121679249
244	0.4118771971
245	0.41152952
246	0.4112019351
247	0.4109164726
248	0.4105826115
249	0.4103176625
250	0.4101313136
251	0.4098546125
252	0.4095945075
253	0.4094073162
254	0.409085123
255	0.4088361383
256	0.4086099418
257	0.4083889684
258	0.4080389324
259	0.407922001
260	0.4076274401
261	0.4074176291
262	0.4072276998
263	0.4070578207
264	0.4068828448
265	0.4067007503
266	0.4065109053
267	0.4062981879
268	0.4061270872
269	0.4059711928
270	0.4057993761
271	0.4056507687
272	0.4054645041
273	0.4050842243
274	0.4049569308
275	0.4046818725
276	0.4044708399
277	0.4043263606
278	0.4041653693
279	0.4039508827
280	0.403336319
281	0.403090325
282	0.402847785
283	0.4026206617
284	0.4024653148
285	0.4023154438
286	0.4020215989
287	0.4018791415
288	0.401774931
289	0.4016193735
290	0.4013751065
291	0.4010948671
292	0.4009669418
293	0.4008813915
294	0.4006703589
295	0.4004476164
296	0.4003295898
297	0.4001548667
298	0.3999923169
299	0.3998436674
300	0.3996870148
301	0.3993731618
302	0.3991843698
303	0.3990095203
304	0.3988123881
305	0.3987075879
306	0.398491248
307	0.3983223799
308	0.398117076
309	0.3979686792
310	0.3976487185
311	0.3974505754
312	0.3973292633
313	0.3971384073
314	0.3969597247
315	0.3967887083
316	0.3966837818
317	0.3965445256
318	0.396383787
319	0.3961891822
320	0.3959439043
321	0.3957044392
322	0.3955533888
323	0.395419103
324	0.3951295546
325	0.3949915199
326	0.3948194926
327	0.3947251809
328	0.3946383669
329	0.3943691214
330	0.3940551421
331	0.393976921
332	0.3937306322
333	0.3935251598
334	0.3933430653
335	0.3931871708
336	0.3930211248
337	0.3929309832
338	0.3927978347
339	0.3926354113
340	0.3923539924
341	0.3921560599
342	0.3919716487
343	0.3918390478
344	0.3916826057
345	0.3915853033
346	0.3914466368
347	0.3912177445
348	0.3910658937
349	0.3909654742
350	0.3908415927
351	0.3907286208
352	0.3906036861
353	0.3904833007
354	0.3904132935
355	0.3902766068
356	0.3901420262
357	0.3900173443
358	0.3898315851
359	0.3896533237
360	0.3895432161
361	0.3894582976
362	0.3893582572
363	0.3892400201
364	0.3890593156
365	0.3888998828
366	0.3887582256
367	0.3886351444
368	0.388514422
369	0.3883986279
370	0.3880809839
371	0.3879801432
372	0.3878803135
373	0.3877694056
374	0.3876394163
375	0.3875751798
376	0.3875036562
377	0.3874053007
378	0.3872374014
379	0.3870270007
380	0.3867529112
381	0.3865940681
382	0.38645001
383	0.3862173266
384	0.3859856542
385	0.3858054973
386	0.3856436214
387	0.3854990157
388	0.385314099
389	0.3851768225
390	0.3850280467
391	0.3849669694
392	0.384861748
393	0.3847415311
394	0.3844633978
395	0.3843135268
396	0.3841551049
397	0.3840632784
398	0.3839667342
399	0.3838452536
400	0.3835955107
401	0.3833991367
402	0.3832729806
403	0.3830979204
404	0.3829800624
405	0.3828846976
406	0.3827939241
407	0.3826993175
408	0.3825345773
409	0.3823993227
410	0.3822912791
411	0.3821314252
412	0.3818647491
413	0.3816947437
414	0.3815796657
415	0.3814620182
416	0.381367538
417	0.3812842201
418	0.3810711657
419	0.3809900383
420	0.3808506978
421	0.3807098831
422	0.3804372678
423	0.3803401339
424	0.3802316269
425	0.3801015955
426	0.3799723644
427	0.3798145744
428	0.3797582991
429	0.3795955387
430	0.3794935186
431	0.3794248593
432	0.3793112977
433	0.3792315181
434	0.3791504327
435	0.3790666516
436	0.3788885587
437	0.3786776104
438	0.3785867948
439	0.378495558
440	0.3782933711
441	0.3781724802
442	0.3780474613
443	0.3779242116
444	0.3778408095
445	0.3777068607
446	0.3776161294
447	0.3775316743
448	0.3773854679
449	0.3772585114
450	0.3771233832
451	0.3769264616
452	0.3768299595
453	0.3767397757
454	0.3765903681
455	0.3765042702
456	0.3763270197
457	0.3762273163
458	0.3760413465
459	0.3758854099
460	0.3758408446
461	0.3756705864
462	0.3755155344
463	0.3754135564
464	0.3753590502
465	0.3752041245
466	0.375078221
467	0.3749754427
468	0.374900086
469	0.374809481
470	0.3746982361
471	0.3745553574
472	0.3744446601
473	0.374327813
474	0.3742512347
475	0.3741396107
476	0.3740568826
477	0.3739124453
478	0.3738096249
479	0.3736672517
480	0.3734705407
481	0.3734034821
482	0.3732830966
483	0.3730857538
484	0.3730127981
485	0.3728083788
486	0.3727146146
487	0.3725843726
488	0.3724088491
489	0.3723244782
490	0.3722436456
491	0.3721111711
492	0.3719917124
493	0.3718741913
494	0.3717717499
495	0.371670488
496	0.3714673745
497	0.3714027589
498	0.3712631657
499	0.3711558382
500	0.3710105585
501	0.3709154886
502	0.3707849517
503	0.3706995278
504	0.3706098916
505	0.3705055547
506	0.3703966687
507	0.3703418676
508	0.3702385839
509	0.3700996646
510	0.3700090175
511	0.369930628
512	0.3698067464
513	0.3697085173
514	0.3696386786
515	0.369496516
516	0.3694374185
517	0.3693675376
518	0.369242266
519	0.3690821593
520	0.3689710408
521	0.3688637133
522	0.3687724764
523	0.3686101372
524	0.3685304419
525	0.3684467029
526	0.3683613632
527	0.3682364707
528	0.368109809
529	0.3679765342
530	0.367820724
531	0.3677149128
532	0.3676533722
533	0.3675636518
534	0.3674740156
535	0.3673209854
536	0.3672602451
537	0.3671313931
538	0.3669510256
539	0.3668670338
540	0.3668128225
541	0.3666843917
542	0.3664860801
543	0.3663841442
544	0.366260389
545	0.3661930355
546	0.3660402581
547	0.3659208836
548	0.3658057213
549	0.3657174331
550	0.3656099792
551	0.3654888777
552	0.3654264946
553	0.3652391348
554	0.3651183703
555	0.3650476891
556	0.364958053
557	0.3648804638
558	0.3648141212
559	0.3646700209
560	0.3645896096
561	0.3645065023
562	0.3644507746
563	0.3643439104
564	0.3642977444
565	0.3642151848
566	0.3641376798
567	0.3640338484
568	0.3639649364
569	0.3638873472
570	0.3637878123
571	0.3636738716
572	0.3635943869
573	0.3634619545
574	0.3633825962
575	0.3633302382
576	0.3632594728
577	0.3631052632
578	0.3630141949
579	0.3628981902
580	0.3627660947
581	0.3626909486
582	0.3625891813
583	0.3624928898
584	0.36235515
585	0.3622935672
586	0.3622114288
587	0.3620583565
588	0.3619885599
589	0.3619326216
590	0.3618982919
591	0.3617883528
592	0.3617071411
593	0.3616542355
594	0.3615329656
595	0.3614479207
596	0.3613569366
597	0.3612412689
598	0.3611334359
599	0.3610691573
600	0.3609796054
601	0.3608972985
602	0.3608292289
603	0.3606764515
604	0.3606264945
605	0.3605263699
606	0.3604117131
607	0.3603353454
608	0.3602722042
609	0.3601934355
610	0.360078526
611	0.3599777696
612	0.3597772255
613	0.3597080186
614	0.3596394436
615	0.3595425624
616	0.3594436172
617	0.3593060037
618	0.3591484244
619	0.3590462779
620	0.3589242918
621	0.3589127082
622	0.3587777485
623	0.3587099737
624	0.3585947272
625	0.3585041644
626	0.3584261118
627	0.3583494493
628	0.3583045049
629	0.3582019372
630	0.3580028252
631	0.3579528261
632	0.357833578
633	0.3576544741
634	0.3576097824
635	0.3575316877
636	0.3574407879
637	0.3573453389
638	0.3572546496
639	0.3571847688
640	0.3571381816
641	0.3570357824
642	0.3569132066
643	0.3568252553
644	0.3567484664
645	0.3566517958
646	0.356541267
647	0.3564446385
648	0.356356266
649	0.3562422411
650	0.3561627985
651	0.356075816
652	0.3559882017
653	0.3559034096
654	0.355793639
655	0.3557607415
656	0.3556554359
657	0.3555665579
658	0.3552851391
659	0.3551953765
660	0.3551195565
661	0.3550011929
662	0.3548771428
663	0.354803134
664	0.354715604
665	0.3546231456
666	0.3545074779
667	0.3544443366
668	0.3543614821
669	0.3542504478
670	0.3540286741
671	0.35394662
672	0.3537389994
673	0.3536346204
674	0.3535309996
675	0.3534410265
676	0.3533742627
677	0.3533120692
678	0.3532560466
679	0.3531276579
680	0.3530390116
681	0.3529529137
682	0.3528490823
683	0.352646032
684	0.3525960118
685	0.3524932545
686	0.352441402
687	0.352326303
688	0.3522498932
689	0.3521480416
690	0.3520215905
691	0.3519729814
692	0.3518656539
693	0.3517238704
694	0.3516679741
695	0.3515180821
696	0.3514321737
697	0.351324088
698	0.3512233526
699	0.3511352118
700	0.3509876996
701	0.3508432624
702	0.3507324808
703	0.3506954554
704	0.3506427604
705	0.3505540088
706	0.3504332864
707	0.350339775
708	0.3502356067
709	0.350169938
710	0.3500602727
711	0.349970089
712	0.3499079376
713	0.3497691026
714	0.3497095628
715	0.3496517289
716	0.3495970964
717	0.3494594619
718	0.3493443417
719	0.3492377514
720	0.3491277491
721	0.3490316261
722	0.3489494877
723	0.3488088414
724	0.348674345
725	0.3485283914
726	0.3484232964
727	0.3483303536
728	0.3481961942
729	0.3481052312
730	0.3479987461
731	0.3479150913
732	0.3478507917
733	0.3477747399
734	0.3477083552
735	0.347620067
736	0.3475640444
737	0.347503957
738	0.3473937651
739	0.3473265169
740	0.3472065738
741	0.3471152317
742	0.3470314926
743	0.3469364437
744	0.3468860445
745	0.3468117618
746	0.3467020544
747	0.3466200424
748	0.3465382409
749	0.3464379268
750	0.3463459107
751	0.346287782
752	0.3461806651
753	0.3461020649
754	0.3460485065
755	0.3458092099
756	0.3457576312
757	0.3456650254
758	0.3456048748
759	0.3455145858
760	0.34545334
761	0.3453822797
762	0.3453099979
763	0.3452231418
764	0.34509469
765	0.3449152913
766	0.3448317418
767	0.3446737412
768	0.3445937721
769	0.3445407823
770	0.344469701
771	0.3444181222
772	0.3443436711
773	0.3442606903
774	0.3441137257
775	0.3440488996
776	0.3439416142
777	0.3438762404
778	0.3438088448
779	0.3436675667
780	0.3436118179
781	0.3434207092
782	0.3433504072
783	0.343270754
784	0.3432054645
785	0.3430460528
786	0.3429839646
787	0.3428426444
788	0.3426951112
789	0.3426070967
790	0.3425177133
791	0.3424055838
792	0.3423319541
793	0.34227888
794	0.3421302306
795	0.3420491031
796	0.3419548124
797	0.3418952305
798	0.3417717701
799	0.341685251
975098
0052
